Country Name,mean_rank
Singapore,25.553209378904782
Switzerland,26.884540879932974
Cayman Islands,27.83887402382993
"Korea, Rep.",29.188156277728652
Netherlands,29.406585746476694
"Macao SAR, China",29.63491963733466
Australia,29.869755542320494
Malta,30.109197629059334
Iceland,30.744827593473065
Portugal,30.94097377848331
Germany,31.48568090902058
Denmark,31.54567283627598
Austria,32.25490387115715
San Marino,32.28816764031365
United Arab Emirates,32.64845628800967
Qatar,32.871263734171045
Norway,33.33459049897711
"Hong Kong SAR, China",33.6683549374401
Belgium,33.71817486153628
Cyprus,34.30349947523527
Italy,34.41965602986903
Finland,34.5557945660142
Hungary,34.69348318883816
Luxembourg,35.01784242771398
Bahrain,35.021736405322876
Sweden,35.11211235492462
Uruguay,35.36746414273852
France,35.55030396253539
Andorra,36.03105971776706
Kuwait,36.12964577206757
Spain,36.142286144773884
Canada,36.508418877784656
Slovenia,36.7861194747001
Ireland,36.87958784176635
New Zealand,37.13805699153034
Trinidad and Tobago,37.65243661814229
Chile,37.67584508546021
Bermuda,37.85842652066333
Liechtenstein,38.25154432845449
Greece,38.558166709614376
Poland,39.084321375750726
North America,39.56196868702171
Latvia,39.71017325861259
Lithuania,39.72890219631247
Czechia,39.78466544952587
United Kingdom,39.805405532433596
Estonia,39.8823478358002
Brunei Darussalam,39.910112704090565
Croatia,40.568002417740196
Japan,40.89307094623315
United States,41.145860168400425
Israel,42.57671927808364
Turkiye,42.628006308312955
Jordan,42.655960855709
Slovak Republic,43.00376473933425
Argentina,43.21259386391735
Costa Rica,43.34860983670636
Sint Maarten (Dutch part),43.45430162991689
Monaco,43.50949045106886
Palau,43.673051418805606
Aruba,43.873910935846
Oman,44.00136214280525
Uzbekistan,44.91616009904574
Belarus,45.173448775873794
Seychelles,45.91155134048529
Serbia,46.098127465757216
Ukraine,46.406475230355795
Saudi Arabia,46.74129478437752
British Virgin Islands,46.83406828966205
Kazakhstan,46.96567351456735
Euro area,47.51641407895403
Turks and Caicos Islands,47.53906259254078
Antigua and Barbuda,47.60881374153024
Brazil,47.731552800080394
Tunisia,48.19035107407972
Mexico,48.23825972929328
Cuba,48.33558546925175
Bosnia and Herzegovina,48.68190904642028
North Macedonia,49.19301594379177
St. Kitts and Nevis,49.35713800415712
Barbados,49.54227846566254
Romania,49.782410952296686
Colombia,50.21747898502649
Thailand,50.35849016889791
Albania,50.65957801541871
Puerto Rico,50.780371207705706
Algeria,51.36659270097234
Azerbaijan,51.526148125592634
Panama,51.55129103077188
Maldives,51.596101032593054
Nauru,51.61187259717932
Mauritius,51.81793522657815
Russian Federation,52.073096786215
Gibraltar,52.19258512827524
Moldova,52.96326004931413
Montenegro,53.534108619033155
Ecuador,53.67701007172084
Paraguay,53.760770626069245
Armenia,54.082884988359574
Bulgaria,54.097244415199505
Dominican Republic,54.26085142053853
"Egypt, Arab Rep.",54.3791398155367
St. Martin (French part),54.91530532975364
Georgia,55.24779790609463
El Salvador,55.278175060915096
Peru,55.5078110044986
Turkmenistan,55.72070521840459
European Union,55.819158009839725
Tajikistan,56.29520344886438
High income,56.59705236988412
West Bank and Gaza,57.061345156324286
Jamaica,57.09939913283999
Guam,57.24523543901697
Kyrgyz Republic,57.25897844500946
Central Europe and the Baltics,57.32201113021762
OECD members,57.384717230115136
"Iran, Islamic Rep.",57.74402887997414
China,57.83038834456707
"Bahamas, The",57.86468292053949
"Venezuela, RB",58.22388588959875
Bolivia,58.70883633189294
Malaysia,58.84740025797024
Viet Nam,58.92731122904321
Lebanon,59.034447698583584
Mongolia,59.628472885887504
Northern Mariana Islands,60.204039992995895
Post-demographic dividend,60.46226950521858
Greenland,60.54945521150754
Europe & Central Asia,60.58715292010848
Belize,60.592158151059174
Dominica,60.635412218517956
Tonga,60.78148745439716
Sri Lanka,60.85551614900686
Philippines,60.98413768122895
Honduras,61.03296662552488
Virgin Islands (U.S.),61.58743709634896
South Africa,61.72667910900727
St. Lucia,61.821244871066995
Marshall Islands,62.11036511078177
Indonesia,62.236546392238566
Syrian Arab Republic,62.88298752555708
Nicaragua,63.452766700904036
Iraq,63.946886534558075
Guatemala,64.50905266397139
Channel Islands,65.07955229370938
Samoa,65.53044233204307
Isle of Man,65.64901037514772
St. Vincent and the Grenadines,65.73641766235487
Grenada,66.20437508056165
Curacao,66.72966997959887
New Caledonia,68.19691564509513
Kosovo,68.26572404903393
Upper middle income,69.93108220184847
Eswatini,70.05365905509474
Gabon,70.07439747282818
Ghana,70.5720308028244
Botswana,70.63241140289672
Cabo Verde,70.75149055648346
Morocco,71.22848568817345
Namibia,71.52977956740546
Guyana,71.58925963136019
Lesotho,72.17766930884348
Tuvalu,72.51167429527042
Late-demographic dividend,72.65516177346018
Europe & Central Asia (excluding high income),72.84859656734942
Fiji,72.92175163710435
Europe & Central Asia (IDA & IBRD countries),72.94245212811565
French Polynesia,73.04829444095236
India,73.17688114237254
Latin America & Caribbean (excluding high income),73.74389796862032
Latin America & Caribbean,74.08516160575876
Suriname,74.15067471644328
Latin America & the Caribbean (IDA & IBRD countries),74.48619644759039
Bangladesh,74.82670343121363
"Yemen, Rep.",75.06967109488639
Cambodia,75.35643308480134
East Asia & Pacific,75.58427783716527
Pakistan,76.011261348985
Senegal,77.48587029172185
Bhutan,78.35675542778647
Angola,78.85031215088928
Cote d'Ivoire,79.19423757831152
Myanmar,79.22047391250688
Kenya,79.23465276436929
East Asia & Pacific (excluding high income),79.537239626051
Cameroon,79.53790419277338
Togo,79.7549523260874
Nepal,79.95525932946246
Timor-Leste,80.62430170973337
East Asia & Pacific (IDA & IBRD countries),80.73738043708518
Malawi,81.10306970280912
Lao PDR,81.343355716343
Mauritania,81.63995233898774
Faroe Islands,81.74293775735609
Zambia,81.96931398698814
Rwanda,82.55313807044621
Sierra Leone,82.71128282935915
"Gambia, The",82.87410690735155
American Samoa,82.9052442617736
Mozambique,82.99712232903524
Middle East & North Africa,83.69531101136845
Kiribati,83.88335082255107
Uganda,84.5015995441302
Caribbean small states,84.50597628293106
"Congo, Rep.",84.61950978813967
Liberia,85.50958308492517
Tanzania,85.71254383914028
Madagascar,86.32951696761303
Benin,86.53699324446654
Sao Tome and Principe,87.02106827381724
"Korea, Dem. People's Rep.",87.09182742677204
Nigeria,87.55582640610072
Burkina Faso,87.7157752098736
Vanuatu,87.84487744690128
Middle East & North Africa (excluding high income),88.26120438433281
Burundi,88.56997617729253
Mali,89.1733440056372
"Micronesia, Fed. Sts.",89.50861882919712
Libya,89.51047367513489
Sudan,89.87994506549852
Ethiopia,89.88862317375927
Guinea,90.85050391725358
"Congo, Dem. Rep.",91.05947964101932
Zimbabwe,91.35590501757972
Guinea-Bissau,91.39310593828438
Afghanistan,91.9665035139221
Chad,91.96995067668782
Middle East & North Africa (IDA & IBRD countries),92.15557892495187
IBRD only,92.68607358713325
Niger,92.92243443039938
Other small states,93.07122738918667
Small states,94.19701781902354
World,94.29299412110852
Comoros,94.29362226511972
Papua New Guinea,94.82907997587323
Arab World,97.1895598171155
Haiti,97.57260545548192
Djibouti,99.36908957231682
Central African Republic,99.71119396497078
Middle income,99.7769369766299
Equatorial Guinea,100.25822131051875
Lower middle income,100.57323445635973
South Sudan,100.77396033237062
Solomon Islands,101.24897142320272
Somalia,101.35380311638856
Low & middle income,102.27893724319841
Early-demographic dividend,104.61723094354299
IDA & IBRD total,106.09959091614546
South Asia,107.41781879839488
South Asia (IDA & IBRD),109.23768013247863
Eritrea,109.8964114532015
IDA blend,112.01256093282576
Africa Western and Central,120.85032453394628
Low income,122.78894779653508
