Country Name,mean_rank,rank
Singapore,25.553209378904782,1
Switzerland,26.884540879932974,2
Cayman Islands,27.83887402382993,3
"Korea, Rep.",29.188156277728652,4
Netherlands,29.406585746476694,5
"Macao SAR, China",29.63491963733466,6
Australia,29.869755542320494,7
Malta,30.109197629059334,8
Iceland,30.744827593473065,9
Portugal,30.94097377848331,10
Germany,31.48568090902058,11
Denmark,31.54567283627598,12
Austria,32.25490387115715,13
San Marino,32.28816764031365,14
United Arab Emirates,32.64845628800967,15
Qatar,32.871263734171045,16
Norway,33.33459049897711,17
"Hong Kong SAR, China",33.6683549374401,18
Belgium,33.71817486153628,19
Cyprus,34.30349947523527,20
Italy,34.41965602986903,21
Finland,34.5557945660142,22
Hungary,34.69348318883816,23
Luxembourg,35.01784242771398,24
Bahrain,35.021736405322876,25
Sweden,35.11211235492462,26
Uruguay,35.36746414273852,27
France,35.55030396253539,28
Andorra,36.03105971776706,29
Kuwait,36.12964577206757,30
Spain,36.142286144773884,31
Canada,36.508418877784656,32
Slovenia,36.7861194747001,33
Ireland,36.87958784176635,34
New Zealand,37.13805699153034,35
Trinidad and Tobago,37.65243661814229,36
Chile,37.67584508546021,37
Bermuda,37.85842652066333,38
Liechtenstein,38.25154432845449,39
Greece,38.558166709614376,40
Poland,39.084321375750726,41
North America,39.56196868702171,42
Latvia,39.71017325861259,43
Lithuania,39.72890219631247,44
Czechia,39.78466544952587,45
United Kingdom,39.805405532433596,46
Estonia,39.8823478358002,47
Brunei Darussalam,39.910112704090565,48
Croatia,40.568002417740196,49
Japan,40.89307094623315,50
United States,41.145860168400425,51
Israel,42.57671927808364,52
Turkiye,42.628006308312955,53
Jordan,42.655960855709,54
Slovak Republic,43.00376473933425,55
Argentina,43.21259386391735,56
Costa Rica,43.34860983670636,57
Sint Maarten (Dutch part),43.45430162991689,58
Monaco,43.50949045106886,59
Palau,43.673051418805606,60
Aruba,43.873910935846,61
Oman,44.00136214280525,62
Uzbekistan,44.91616009904574,63
Belarus,45.173448775873794,64
Seychelles,45.91155134048529,65
Serbia,46.098127465757216,66
Ukraine,46.406475230355795,67
Saudi Arabia,46.74129478437752,68
British Virgin Islands,46.83406828966205,69
Kazakhstan,46.96567351456735,70
Euro area,47.51641407895403,71
Turks and Caicos Islands,47.53906259254078,72
Antigua and Barbuda,47.60881374153024,73
Brazil,47.731552800080394,74
Tunisia,48.19035107407972,75
Mexico,48.23825972929328,76
Cuba,48.33558546925175,77
Bosnia and Herzegovina,48.68190904642028,78
North Macedonia,49.19301594379177,79
St. Kitts and Nevis,49.35713800415712,80
Barbados,49.54227846566254,81
Romania,49.782410952296686,82
Colombia,50.21747898502649,83
Thailand,50.35849016889791,84
Albania,50.65957801541871,85
